text,label
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Oúnjẹ yìí dùn púpọ̀!,0
Ẹ̀ káàárọ̀ o!,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ṣé o ti jẹun?,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Ẹ jẹ́ ká lọ ṣeré.,0
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Mo wà lórí ọ̀nà báyìí.,0
Ẹ jẹ́ ká lọ ṣeré.,0
Oúnjẹ yìí dùn púpọ̀!,0
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Ẹ̀ káàárọ̀ o!,0
Ẹ̀ káàárọ̀ o!,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Oúnjẹ yìí dùn púpọ̀!,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Oúnjẹ yìí dùn púpọ̀!,0
Ẹ̀ káàárọ̀ o!,0
Ẹ̀ káàárọ̀ o!,0
Oúnjẹ yìí dùn púpọ̀!,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Mo wà lórí ọ̀nà báyìí.,0
Mo wà lórí ọ̀nà báyìí.,0
Oúnjẹ yìí dùn púpọ̀!,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Ẹ̀ káàárọ̀ o!,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ẹ̀ káàárọ̀ o!,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Ẹ̀ káàárọ̀ o!,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Mo wà lórí ọ̀nà báyìí.,0
Mo wà lórí ọ̀nà báyìí.,0
Mo wà lórí ọ̀nà báyìí.,0
Oúnjẹ yìí dùn púpọ̀!,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Mo wà lórí ọ̀nà báyìí.,0
Ẹ̀ káàárọ̀ o!,0
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Ẹ jẹ́ ká lọ ṣeré.,0
Ẹ̀ káàárọ̀ o!,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Mo wà lórí ọ̀nà báyìí.,0
Ṣé o ti jẹun?,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Mo wà lórí ọ̀nà báyìí.,0
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ṣé o ti jẹun?,0
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Ṣé o ti jẹun?,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Oúnjẹ yìí dùn púpọ̀!,0
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Ẹ̀ káàárọ̀ o!,0
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Mo wà lórí ọ̀nà báyìí.,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Oúnjẹ yìí dùn púpọ̀!,0
Ẹ jẹ́ ká lọ ṣeré.,0
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Ṣé o ti jẹun?,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ṣé o ti jẹun?,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ẹ̀ káàárọ̀ o!,0
Ṣé o ti jẹun?,0
Ṣé o ti jẹun?,0
Olùkọ́ọ̀kan sọ pé àwọn ọmọ ilé-ẹ̀kọ́ alákọ́bẹrẹ ń ṣe àgbàsọ̀sọ̀ lórí ètò ìmúlò ẹ̀kọ́.,1
Ẹ jẹ́ ká lọ ṣeré.,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Oúnjẹ yìí dùn púpọ̀!,0
Aṣíwájú ilẹ̀ yìí sọ pé a gbọ́dọ̀ tẹ̀síwájú ninu àgbéjáde àpapọ̀.,1
Ṣé o ti jẹun?,0
Oúnjẹ yìí dùn púpọ̀!,0
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ìjọba ti kede ìpinnu tuntun lori àfìmọ̀ kọ́rọ̀ ajẹsára.,1
Awùjọ àwọn agbẹ̀bé yàtọ̀ sí ìkànsí tuntun wọn lórí ọrọ̀ ajé.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ẹ̀ káàárọ̀ o!,0
Ẹ jẹ́ ká lọ ṣeré.,0
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ìjọba ìpínlẹ̀ Ọṣun ti bẹ̀rẹ̀ ètò tuntun fífi omi pẹ̀lú ẹ̀rọ ayélujára.,1
Ẹ jẹ́ ká lọ ṣeré.,0
